HS Code,ID,Rate
0106130000,ENVL20,0.50%
0106140010,ID-01,40.00%
0106140010,ASD05,-
0106140010,GCT 06,15%
0106140010,EXC023,-
0106140010,SCTA08,-
0106140010,SCTS18,-
0106140010,SCTF028,-
0106140010,SCF90,-
0106140010,ENVL20,0.50%
0106140090,ID-01,40.00%
0106140090,ASD05,-
0106140090,GCT 06,15%
0106140090,EXC023,-
0106140090,SCTA08,-
0106140090,SCTS18,-
0106140090,SCTF028,-
0106140090,SCF90,-
0106140090,ENVL20,0.50%
0106191000,ID-01,40.00%
0106191000,ASD05,-
0106191000,GCT 06,15%
0106191000,EXC023,-
0106191000,SCTA08,-
0106191000,SCTS18,-
0106191000,SCTF028,-
0106191000,SCF90,-
0106191000,ENVL20,0.50%
0106192000,ID-01,40.00%
0106192000,ASD05,-
0106192000,GCT 06,15%
0106192000,EXC023,-
0106192000,SCTA08,-
0106192000,SCTS18,-
0106192000,SCTF028,-
0106192000,SCF90,-
0106192000,ENVL20,0.50%
0106199000,ID-01,40.00%
0106199000,ASD05,-
0106199000,GCT 06,15%
0106199000,EXC023,-
0106199000,SCTA08,-
0106199000,SCTS18,-
0106199000,SCTF028,-
0106199000,SCF90,-
0106199000,ENVL20,0.50%
0106201000,ID-01,40.00%
0106201000,ASD05,-
0106201000,GCT 06,15%
0106201000,EXC023,-
0106201000,SCTA08,-
0106201000,SCTS18,-
0106201000,SCTF028,-
0106201000,SCF90,-
0106201000,ENVL20,0.50%
0106209010,ID-01,40.00%
0106209010,ASD05,-
0106209010,GCT 06,15%
0106209010,EXC023,-
0106209010,SCTA08,-
0106209010,SCTS18,-
0106209010,SCTF028,-
0106209010,SCF90,-
0106209010,ENVL20,0.50%
0106209090,ID-01,40.00%
0106209090,ASD05,-
0106209090,GCT 06,15%
0106209090,EXC023,-
0106209090,SCTA08,-
0106209090,SCTS18,-
0106209090,SCTF028,-
0106209090,SCF90,-
0106209090,ENVL20,0.50%
0106310000,ID-01,40.00%
0106310000,ASD05,-
0106310000,GCT 06,15%
0106310000,EXC023,-
0106310000,SCTA08,-
